LOCATION,SHOT_NUMBER,PERIOD,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSE_DEF_DIST,FGM,opposing_team,GAME_CLOCK_sec
A,4,1,14.3,0,3.4,15.4,2,4.6,0,CHA,267
A,6,2,10.6,1,4.5,15.7,2,3.4,0,LAL,540
A,10,4,24,0,0.2,3.7,2,3.3,0,POR,429
H,4,2,11.1,0,1.2,19.4,2,7.1,0,GSW,75
H,4,1,17.9,2,2.2,5.2,2,1.6,1,PHI,439
H,1,1,23.5,0,2.8,2.3,2,0.3,0,OKC,27
A,5,1,17.6,1,1.1,4.2,2,0.7,1,MEM,411
H,1,1,9.5,1,1.8,7.1,2,3.9,1,ATL,704
H,10,3,4.4,2,3.1,25.2,3,3.9,1,IND,261
H,7,3,17,0,7.2,3,2,2.8,1,SAC,24
H,2,2,0,0,1.4,0.9,2,1.4,1,WAS,530
H,15,3,10.8,2,4.6,18.2,2,1.9,1,MIN,164
A,2,1,0,0,1.7,3.7,2,1.6,1,LAL,225
H,11,4,9.3,0,0.7,6.7,2,2.4,0,BOS,512
H,25,4,13.2,12,10.7,25,3,5,0,LAL,324
H,2,1,15,0,0.4,18.6,2,5.2,1,LAL,631
A,9,3,4.6,2,2.4,3.9,2,3.5,0,MIA,666
H,2,2,11.3,0,1,1.9,2,0.2,1,SAC,382
H,5,2,13.8,0,0.9,5.9,2,3,1,BKN,379
A,3,1,16.7,2,3.2,16.5,2,4.1,0,CLE,69
A,3,1,14.1,0,1.2,24.3,3,10.5,1,ORL,596
A,10,3,5,4,7.9,16.5,2,4.5,0,LAL,441
H,8,3,16.5,7,6,15.4,2,5.8,1,DAL,91
H,11,4,14.1,1,3.2,5.5,2,1.7,0,PHX,579
H,4,1,18.1,5,5.3,19.5,2,3,0,CLE,378
A,7,3,6.6,0,0.7,24.5,3,5.7,0,ORL,448
A,11,3,19.4,6,5.4,4.8,2,3.7,1,POR,563
A,12,3,14.9,0,0.8,18.4,2,10.3,1,ATL,348
H,17,4,22.4,0,0.9,26.4,3,5.3,0,MIA,55
H,7,2,17.5,3,3.8,6.6,2,1.3,1,TOR,463
A,11,3,24,0,0.4,0.8,2,2.1,0,MIN,430
H,5,2,16.7,0,0.8,27.1,3,8.5,0,HOU,402
H,10,3,21.5,0,0.8,4.1,2,2,1,TOR,281
H,17,3,13,0,0,8.6,2,3.2,0,LAC,281
H,11,4,8.9,3,4.2,24.4,3,3.9,1,LAC,242
A,10,4,24,0,0,2.4,2,2,0,CHA,153
A,2,1,14.7,7,7.8,5,2,4.1,0,MIN,276
H,6,2,20.1,0,0.7,2.9,2,3.6,0,ORL,696
H,4,4,8.7,0,0.9,21.3,2,4.6,1,CHA,704
A,1,1,13.2,3,3.5,7,2,2.2,1,DAL,393
A,3,1,2.1,0,0.6,24,3,7.2,1,SAC,4
A,7,4,7.4,21,14.9,6.8,2,3,0,SAS,187
A,1,1,5.5,2,2.5,13,2,4.2,0,BOS,231
A,19,3,9.7,17,13.7,4.3,2,2.2,0,CHI,168
A,5,1,14.8,2,2.2,7.9,2,2.4,0,ATL,438
H,10,3,1,1,0.8,25.1,3,4.1,0,MIA,287
H,5,4,1,3,2.9,40.1,3,6.2,0,DEN,665
H,9,3,18.7,1,1.9,24.4,3,8.1,0,ATL,575
A,4,1,24,0,0,2.3,2,0.7,0,NYK,301
H,3,1,17.1,1,3,4.9,2,1.7,1,SAS,379
A,11,4,5.8,0,0.7,9.1,2,4.3,1,MEM,407
A,22,3,10.1,3,4.6,21,2,3.5,0,PHX,185
A,4,2,18.6,6,4.7,18.6,2,9.6,0,WAS,24
H,5,1,17.4,1,1.4,17.5,2,5.9,0,SAC,353
A,6,3,14,10,9.5,20,2,6,1,CHI,605
H,2,1,2.2,5,4.2,2.2,2,2.2,0,LAC,312
A,6,2,20,0,1,23.9,3,8.9,1,DET,386
A,1,1,14.9,0,0.7,22.6,3,5.4,0,PHX,127
H,2,2,16.2,0,0,3.7,2,1.1,0,ATL,552
A,3,2,16.4,2,2,23.6,3,4,0,WAS,596
A,2,1,16.5,0,1,16.7,2,6.4,0,BOS,615
H,3,1,13.6,3,4.8,1.9,2,0.1,0,PHI,315
A,14,4,3.6,2,3.3,8.8,2,0.9,0,MIN,68
A,8,3,22.5,1,2.1,2,2,2.1,0,DAL,339
H,11,3,16.1,0,0.9,21.7,3,3.4,0,UTA,397
H,9,4,2.3,1,1.4,9.2,2,1.7,0,CLE,380
H,4,2,15,12,11.4,9,2,1,0,SAS,163
A,1,1,21.5,4,3.5,2.1,2,2.1,0,DEN,692
A,5,2,4.8,1,4.1,20.1,2,4.1,0,OKC,565
A,6,2,13,0,0.5,2.1,2,4.8,1,MEM,331
A,10,3,17,8,7.6,21.8,2,5.5,0,WAS,650
H,19,4,24,0,1.6,2.2,2,3.4,1,TOR,160
H,2,1,13,4,5.5,13.9,2,3.9,1,SAS,490
H,7,2,3,3,5.9,18.9,2,2.3,0,MIA,213
H,11,3,3.7,0,0,1.6,2,0.3,1,NOP,256
A,6,4,8.3,2,3.5,2.2,2,2.2,0,MIL,148
H,7,3,14.5,0,1,11.4,2,5,1,CLE,492
A,1,1,17.7,0,0.4,1.5,2,3.5,1,TOR,583
H,7,4,12.8,0,0.9,23.7,3,10.6,0,UTA,487
A,3,4,8.5,0,1.1,21,2,5.4,0,BOS,326
H,15,4,10.5,1,2.9,19.6,2,4.3,0,IND,57
A,1,1,11.5,0,0.6,4.2,2,3.9,1,PHI,680
H,17,4,5.7,20,18.4,4.5,2,2.2,1,IND,54
A,4,1,16.6,3,3.7,7.1,2,1.5,0,PHX,294
H,5,2,13.4,12,11.2,15.1,2,4.9,0,HOU,590
A,3,1,17.5,0,1,17.6,2,5.7,0,ORL,578
H,5,1,22,2,3.2,6.2,2,6.2,1,PHX,274
